objectname,RA,DEC,period,R2,sector
TIC 334500542,183.4913241,-48.00665827,0.574716048,0.999849953,[64]
TIC 197247867,134.2904755,18.94558046,0.291069168,0.999849757,"[44, 46, 45]"
TIC 317470793,350.6008052,72.91578691,0.417212265,0.999849465,"[52, 58, 18, 17]"
TIC 349160488,205.0891224,-23.03400277,0.685953613,0.99984904,[37]
TIC 13723992,320.9599318,28.4709121,1.111597048,0.999849001,[55]
TIC 66715008,199.4288173,-0.562393771,0.398365505,0.999848905,"[23, 50, 46]"
TIC 167196599,318.905668,37.49766479,0.641013056,0.999848883,"[15, 55, 56]"
TIC 236884425,303.2923098,62.07316524,0.387886929,0.999847998,"[57, 56, 58, 24]"
TIC 263078276,17.80335913,-79.17727444,0.284180779,0.999847782,"[66, 1]"
TIC 272176884,296.0164125,43.43675176,0.835560153,0.999847587,"[14, 15, 54, 55]"
TIC 172532465,143.0690499,28.97114945,0.358784887,0.999847007,[48]
TIC 262837838,24.12281957,1.839026784,0.267254409,0.999846652,"[42, 30, 43]"
TIC 73455146,190.9065809,-46.93466683,0.668995597,0.999846582,"[64, 11]"
TIC 296484514,238.0913191,-39.15920152,0.388879003,0.999846237,[38]
TIC 1981434196,316.1203013,70.76388644,0.30614001,0.999846194,"[17, 24, 16, 19, 25, 18]"
TIC 177258700,102.2495973,-73.36401989,0.687996901,0.999846008,"[63, 61, 62, 9, 10, 64, 13, 66, 11, 12]"
TIC 293619461,59.713154,-51.175823,0.310529442,0.999845519,"[3, 4]"
TIC 255907472,247.0720691,37.19004014,0.337250358,0.999845269,"[24, 25]"
TIC 88465768,46.76261295,-26.04234581,0.526641608,0.999845245,[4]
TIC 434508647,189.4196278,-19.57778734,0.747614355,0.999844193,[37]
TIC 198408416,258.9132962,58.86449822,0.364634437,0.999843504,"[14, 16, 57, 54, 55, 17, 24, 60, 40, 47, 49, 41, 52, 51, 19, 56, 23, 15, 22, 20, 59, 26, 21, 53, 58, 25, 50]"
TIC 141914317,94.90321503,-72.03347425,0.437426267,0.999843427,"[64, 62, 66, 65, 61, 63, 9, 10, 11, 13]"
TIC 38589392,56.76226901,-7.070317151,0.377621381,0.999843278,"[5, 31]"
TIC 135244338,186.1582285,-40.23119514,0.615450481,0.999842939,"[64, 10]"
TIC 298498697,263.3665697,26.92998528,0.360770457,0.999841924,"[25, 26]"
TIC 234505545,12.17990441,-61.72852616,1.054520768,0.999841724,"[1, 2]"
TIC 229667510,245.0169809,45.21665799,0.984597148,0.999840672,"[52, 50]"
TIC 454222105,79.43686486,1.933321167,0.63260723,0.999839605,[5]
TIC 257722604,37.25801219,-30.43118561,0.386237809,0.999839365,[3]
TIC 4164712,114.625796,33.71241138,0.274912476,0.999839335,"[45, 47, 46, 44]"
TIC 271495349,117.715639,3.650932696,0.551154896,0.999839241,[34]
TIC 376939426,19.38514086,7.891689379,0.33628595,0.999839212,"[43, 42]"
TIC 113061684,292.7390262,-32.69908978,0.693649557,0.999838499,"[27, 13]"
TIC 294784522,71.31607449,-70.99928937,0.495819617,0.999838359,"[35, 3, 27, 37, 63, 64, 34, 9, 36, 61, 31, 32, 10, 39, 33, 66, 65, 6, 30, 7, 62, 5, 4, 29, 13, 38, 2, 8, 12]"
TIC 237130278,277.8057295,52.78541249,0.412855892,0.999838294,"[14, 55, 41, 59, 22, 58, 40, 15, 53, 52, 26, 25, 54]"
TIC 394896142,203.1052506,-74.60995262,0.738819237,0.999837472,"[38, 39, 65]"
TIC 55896456,68.63818066,-9.320752501,0.464436039,0.999837139,[5]
TIC 66080183,340.6610906,53.4174535,0.40144492,0.999836537,"[16, 17, 57]"
TIC 364912573,301.408251,52.431866,0.445027152,0.999836341,"[55, 54, 41]"
TIC 5260642,269.7025746,13.49618949,0.344933629,0.999836235,[53]
